timestamp,asset_id,irradiance_ghi,irradiance_dni,irradiance_dhi,ambient_temperature,module_temperature,humidity,wind_speed,rainfall,dc_voltage,dc_current,dc_power,ac_voltage,ac_current,ac_power,frequency,power_factor,inverter_temperature,inverter_efficiency,status,fault_code
2023-01-01T00:00:00+00:00,AST-JAB-ROOF-A,0.0,0.0,0.0,8.61,8.61,50.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.988,7.58,0.98,OPERATIONAL,0
2023-01-01T00:15:00+00:00,AST-JAB-ROOF-A,2.39,0.41,2.96,8.65,8.72,50.0,2.82,0.0,0.0,0.0,0.0,398.39,1.81,1.24,49.96,0.989,8.09,0.98,OPERATIONAL,0
2023-01-01T00:30:00+00:00,AST-JAB-ROOF-A,4.78,0.82,5.91,8.7,8.83,50.0,2.84,0.0,0.0,0.0,0.0,401.31,3.6,2.48,49.96,0.985,8.62,0.98,OPERATIONAL,0
2023-01-01T00:45:00+00:00,AST-JAB-ROOF-A,7.18,1.24,8.86,8.74,8.93,50.0,2.85,0.0,0.0,0.0,0.0,398.84,5.43,3.71,49.96,0.989,9.75,0.98,OPERATIONAL,0
2023-01-01T01:00:00+00:00,AST-JAB-ROOF-A,9.57,1.65,11.82,8.79,9.04,50.0,2.86,0.0,0.0,0.0,0.0,401.92,7.18,4.95,50.01,0.982,9.86,0.98,OPERATIONAL,0
2023-01-01T01:15:00+00:00,AST-JAB-ROOF-A,34.8,29.72,29.24,9.5,10.4,50.0,3.14,0.0,671.56,27.24,18.29,401.77,26.02,17.92,50.03,0.986,10.24,0.98,OPERATIONAL,0
2023-01-01T01:30:00+00:00,AST-JAB-ROOF-A,60.04,57.79,46.65,10.2,11.74,50.0,3.42,0.0,664.37,47.28,31.41,401.85,44.67,30.78,49.93,0.987,10.51,0.98,OPERATIONAL,0
2023-01-01T01:45:00+00:00,AST-JAB-ROOF-A,85.27,85.87,64.06,10.91,13.05,50.0,3.69,0.0,666.4,66.65,44.42,399.65,63.52,43.53,50.09,0.986,12.57,0.98,OPERATIONAL,0
2023-01-01T02:00:00+00:00,AST-JAB-ROOF-A,110.5,113.94,81.48,11.62,14.35,50.0,3.97,0.0,665.98,86.05,57.31,401.6,81.56,56.16,50.01,0.984,12.38,0.98,OPERATIONAL,0
2023-01-01T02:15:00+00:00,AST-JAB-ROOF-A,143.81,137.74,98.11,12.48,16.04,50.0,3.93,0.0,661.77,112.06,74.16,397.84,106.54,72.68,50.07,0.984,17.19,0.98,OPERATIONAL,0
2023-01-01T02:30:00+00:00,AST-JAB-ROOF-A,177.12,161.53,114.74,13.34,17.74,50.0,3.9,0.0,662.89,137.0,90.81,401.86,129.15,89.0,49.92,0.983,19.55,0.98,OPERATIONAL,0
2023-01-01T02:45:00+00:00,AST-JAB-ROOF-A,210.44,185.32,131.37,14.2,19.44,50.0,3.86,0.0,661.6,162.13,107.27,400.79,152.96,105.12,49.96,0.986,17.38,0.98,OPERATIONAL,0
2023-01-01T03:00:00+00:00,AST-JAB-ROOF-A,243.75,209.12,148.0,15.06,21.14,50.0,3.82,0.0,654.59,188.7,123.52,401.98,175.62,121.05,49.98,0.984,21.8,0.98,OPERATIONAL,0
2023-01-01T03:15:00+00:00,AST-JAB-ROOF-A,275.37,226.48,161.18,16.02,22.83,50.0,3.95,0.0,651.11,213.07,138.73,398.79,198.82,135.96,50.06,0.983,24.22,0.98,OPERATIONAL,0
2023-01-01T03:30:00+00:00,AST-JAB-ROOF-A,306.99,243.83,174.36,16.97,24.51,50.0,4.08,0.0,651.17,236.12,153.76,399.19,220.13,150.68,49.96,0.989,25.68,0.98,OPERATIONAL,0
2023-01-01T03:45:00+00:00,AST-JAB-ROOF-A,338.61,261.18,187.54,17.92,26.18,50.0,4.2,0.0,647.6,260.35,168.6,399.14,241.42,165.23,49.99,0.981,25.27,0.98,OPERATIONAL,0
2023-01-01T04:00:00+00:00,AST-JAB-ROOF-A,370.23,278.54,200.72,18.88,27.84,50.0,4.33,0.0,646.6,283.44,183.27,399.17,262.41,179.61,50.01,0.985,27.59,0.98,OPERATIONAL,0
2023-01-01T04:15:00+00:00,AST-JAB-ROOF-A,420.64,339.68,205.17,19.49,29.82,50.0,4.08,0.0,641.3,322.42,206.77,399.0,296.18,202.64,50.07,0.985,29.46,0.98,OPERATIONAL,0
2023-01-01T04:30:00+00:00,AST-JAB-ROOF-A,471.06,400.82,209.62,20.1,31.84,50.0,3.84,0.0,637.81,360.43,229.89,400.24,328.27,225.29,50.0,0.984,31.89,0.98,OPERATIONAL,0
2023-01-01T04:45:00+00:00,AST-JAB-ROOF-A,521.47,461.96,214.06,20.72,33.9,50.0,3.59,0.0,637.63,396.18,252.62,400.51,360.47,247.56,49.95,0.985,34.93,0.98,OPERATIONAL,0
2023-01-01T05:00:00+00:00,AST-JAB-ROOF-A,571.88,523.1,218.51,21.33,35.99,50.0,3.34,0.0,634.1,433.59,274.94,401.1,391.76,269.44,49.96,0.985,34.33,0.98,OPERATIONAL,0
2023-01-01T05:15:00+00:00,AST-JAB-ROOF-A,590.22,542.92,214.88,21.7,37.0,50.0,3.15,0.0,634.6,445.51,282.72,400.38,403.56,277.07,50.11,0.982,36.71,0.98,OPERATIONAL,0
2023-01-01T05:30:00+00:00,AST-JAB-ROOF-A,608.57,562.74,211.25,22.06,38.01,50.0,2.96,0.0,627.51,462.81,290.42,399.53,415.44,284.61,49.95,0.984,35.39,0.98,OPERATIONAL,0
2023-01-01T05:45:00+00:00,AST-JAB-ROOF-A,626.91,582.56,207.62,22.42,39.04,50.0,2.76,0.0,627.03,475.33,298.05,398.79,427.14,292.08,49.99,0.982,37.13,0.98,OPERATIONAL,0
2023-01-01T06:00:00+00:00,AST-JAB-ROOF-A,645.25,602.38,203.99,22.79,40.09,50.0,2.57,0.0,625.45,488.59,305.59,400.49,436.09,299.48,50.03,0.985,38.48,0.98,OPERATIONAL,0
2023-01-01T06:15:00+00:00,AST-JAB-ROOF-A,639.09,595.1,204.66,23.0,40.25,50.0,2.46,0.0,626.4,482.91,302.49,398.93,433.36,296.44,49.98,0.989,37.58,0.98,OPERATIONAL,0
2023-01-01T06:30:00+00:00,AST-JAB-ROOF-A,632.93,587.83,205.33,23.22,40.41,50.0,2.34,0.0,624.87,479.15,299.4,401.43,426.27,293.42,50.03,0.985,38.74,0.98,OPERATIONAL,0
2023-01-01T06:45:00+00:00,AST-JAB-ROOF-A,626.78,580.55,206.0,23.43,40.56,50.0,2.23,0.0,626.93,472.65,296.32,398.11,425.39,290.39,50.07,0.986,35.72,0.98,OPERATIONAL,0
2023-01-01T07:00:00+00:00,AST-JAB-ROOF-A,620.62,573.28,206.67,23.64,40.72,50.0,2.12,0.0,628.76,466.37,293.24,400.12,418.86,287.37,49.9,0.989,38.36,0.98,OPERATIONAL,0
2023-01-01T07:15:00+00:00,AST-JAB-ROOF-A,598.18,560.04,203.54,23.71,40.17,50.0,2.12,0.0,627.39,451.41,283.21,400.09,404.56,277.55,50.0,0.985,36.24,0.98,OPERATIONAL,0
2023-01-01T07:30:00+00:00,AST-JAB-ROOF-A,575.75,546.79,200.41,23.78,39.62,50.0,2.12,0.0,631.16,432.77,273.15,398.19,392.04,267.68,49.95,0.989,38.13,0.98,OPERATIONAL,0
2023-01-01T07:45:00+00:00,AST-JAB-ROOF-A,553.32,533.54,197.28,23.85,39.07,50.0,2.13,0.0,630.04,417.49,263.03,402.05,373.91,257.77,49.99,0.985,37.43,0.98,OPERATIONAL,0
2023-01-01T08:00:00+00:00,AST-JAB-ROOF-A,530.88,520.3,194.15,23.92,38.52,50.0,2.13,0.0,630.39,401.15,252.88,399.81,361.49,247.82,49.98,0.983,37.68,0.98,OPERATIONAL,0
2023-01-01T08:15:00+00:00,AST-JAB-ROOF-A,494.19,492.34,189.16,23.84,37.34,50.0,2.24,0.0,634.9,372.38,236.42,398.45,339.12,231.69,50.04,0.983,35.95,0.98,OPERATIONAL,0
2023-01-01T08:30:00+00:00,AST-JAB-ROOF-A,457.5,464.37,184.16,23.76,36.17,50.0,2.36,0.0,633.85,346.78,219.8,400.5,313.66,215.41,50.09,0.99,35.89,0.98,OPERATIONAL,0
2023-01-01T08:45:00+00:00,AST-JAB-ROOF-A,420.81,436.4,179.16,23.68,35.02,50.0,2.47,0.0,629.91,322.3,203.02,400.02,290.07,198.96,49.94,0.987,34.67,0.98,OPERATIONAL,0
2023-01-01T09:00:00+00:00,AST-JAB-ROOF-A,384.12,408.44,174.17,23.6,33.89,50.0,2.59,0.0,634.7,293.19,186.09,399.65,266.11,182.37,50.05,0.989,32.9,0.98,OPERATIONAL,0
2023-01-01T09:15:00+00:00,AST-JAB-ROOF-A,339.91,370.87,159.29,23.31,32.35,50.0,2.7,0.0,640.1,258.68,165.58,399.87,236.65,162.27,49.99,0.988,30.71,0.98,OPERATIONAL,0
